council,suburb,Adults - Obesity Rate
Corangamite,DREEITE,33.3
Corangamite,DREEITE SOUTH,33.3
Corangamite,GERANGAMETE,33.3
Corangamite,IRREWARRA,33.3
Corangamite,IRREWILLIPE,33.3
Corangamite,IRREWILLIPE EAST,33.3
Corangamite,KAWARREN,33.3
Corangamite,LARPENT,33.3
Corangamite,NALANGIL,33.3
Corangamite,ONDIT,33.3
Corangamite,PIRRON YALLOCK,33.3
Corangamite,POMBORNEIT EAST,33.3
Corangamite,SWAN MARSH,33.3
Corangamite,TANYBRYN,33.3
Corangamite,WARRION,33.3
Corangamite,WOOL WOOL,33.3
Corangamite,YEO,33.3
Corangamite,YEODENE,33.3
Colac Otway,COLAC,
Colac Otway,COLAC EAST,
Colac Otway,COLAC WEST,
Colac Otway,ELLIMINYT,
Corangamite,BEEAC,33.3
Corangamite,CUNDARE,33.3
Corangamite,CUNDARE NORTH,33.3
Corangamite,EURACK,33.3
Corangamite,WEERING,33.3
Colac Otway,COROROOKE,
Colac Otway,BOOKAAR,
Colac Otway,BOSTOCKS CREEK,
Colac Otway,BUNGADOR,
Colac Otway,CAMPERDOWN,
Colac Otway,CARPENDEIT,
Colac Otway,CHOCOLYN,
Colac Otway,GNOTUK,
Colac Otway,KARIAH,
Colac Otway,KOALLAH,
Colac Otway,LESLIE MANOR,
Colac Otway,POMBORNEIT,
Colac Otway,POMBORNEIT NORTH,
Colac Otway,SKIBO,
Colac Otway,SOUTH PURRUMBETE,
Colac Otway,STONYFORD,
Colac Otway,TANDAROOK,
Colac Otway,TESBURY,
Colac Otway,WEERITE,
Moyne,TERANG,34.3
Corangamite,BOORCAN,33.3
Corangamite,CUDGEE,33.3
Corangamite,DIXIE,33.3
Corangamite,ECKLIN SOUTH,33.3
Corangamite,ELLERSLIE,33.3
Corangamite,FRAMLINGHAM,33.3
Corangamite,FRAMLINGHAM EAST,33.3
